Temperature,Humidity,Rainfall,Soil_pH,Season,Disease
29.1,58.0,2.5,6.3,Summer,Healthy
32.1,61.1,2.7,5.4,Monsoon,Early Blight
26.4,57.1,2.9,6.8,Winter,Healthy
23.5,69.0,15.5,6.6,Winter,Early Blight
23.3,79.2,3.0,5.7,Winter,Early Blight
30.4,56.4,21.3,6.2,Monsoon,Early Blight
31.4,61.5,18.9,5.3,Summer,Early Blight
21.5,91.5,20.5,6.9,Monsoon,Late Blight
20.9,47.4,13.2,6.8,Summer,Early Blight
28.3,68.0,24.9,6.8,Summer,Early Blight
22.0,80.6,1.1,5.7,Winter,Early Blight
31.5,52.5,10.0,5.3,Monsoon,Early Blight
24.3,47.4,8.1,5.4,Monsoon,Early Blight
22.0,51.9,23.7,5.2,Monsoon,Early Blight
32.9,90.9,14.4,5.2,Monsoon,Late Blight
22.3,45.5,20.2,5.1,Monsoon,Early Blight
24.0,54.4,4.3,7.0,Winter,Healthy
22.2,46.6,24.5,5.1,Summer,Early Blight
21.6,50.5,12.5,5.3,Monsoon,Early Blight
20.3,76.0,12.3,6.7,Winter,Early Blight
20.8,57.1,24.3,6.2,Winter,Early Blight
22.4,73.5,9.5,6.5,Winter,Early Blight
20.7,74.5,9.9,6.3,Summer,Early Blight
28.3,87.5,14.6,6.8,Monsoon,Late Blight
29.5,45.2,3.2,6.3,Monsoon,Healthy
25.5,87.7,8.0,6.0,Winter,Late Blight
24.5,76.0,4.8,6.4,Winter,Early Blight
27.1,53.1,2.6,5.9,Monsoon,Healthy
32.3,83.6,21.7,5.7,Winter,Late Blight
31.9,87.8,14.7,5.9,Winter,Late Blight
20.6,57.7,9.0,5.3,Winter,Early Blight
22.5,90.9,10.2,6.6,Summer,Late Blight
23.3,67.7,10.8,5.5,Summer,Early Blight
23.5,75.2,15.8,5.3,Winter,Early Blight
28.0,94.2,23.2,5.5,Monsoon,Late Blight
25.8,63.1,23.3,6.7,Summer,Early Blight
20.7,85.7,9.8,5.7,Monsoon,Late Blight
25.2,60.9,8.2,6.4,Monsoon,Early Blight
27.3,85.0,11.3,6.7,Summer,Late Blight
21.4,75.0,14.2,5.2,Winter,Early Blight
31.7,55.8,11.5,6.5,Summer,Early Blight
20.7,65.7,16.5,5.6,Monsoon,Early Blight
32.9,60.9,13.9,5.4,Monsoon,Early Blight
21.4,48.9,8.0,6.4,Winter,Early Blight
31.8,46.5,8.6,6.8,Summer,Early Blight
32.6,62.3,9.5,5.6,Monsoon,Early Blight
33.7,46.0,2.4,6.1,Winter,Healthy
31.2,53.3,4.2,5.6,Monsoon,Early Blight
30.9,81.3,18.1,6.1,Monsoon,Early Blight
29.0,80.4,9.7,6.2,Monsoon,Early Blight
30.9,81.9,5.4,6.2,Monsoon,Early Blight
21.9,60.9,14.1,6.2,Summer,Early Blight
27.5,89.5,18.9,5.3,Winter,Late Blight
27.2,74.7,6.4,6.4,Winter,Early Blight
32.0,51.3,20.7,6.3,Winter,Early Blight
26.5,52.2,23.2,6.4,Summer,Early Blight
25.4,79.7,14.9,5.1,Winter,Early Blight
29.0,53.6,16.7,5.9,Summer,Early Blight
23.7,70.4,1.3,5.8,Monsoon,Early Blight
22.0,94.6,23.6,5.2,Monsoon,Late Blight
26.7,45.2,9.8,5.4,Monsoon,Early Blight
25.8,45.8,23.1,5.9,Monsoon,Early Blight
23.3,94.7,14.5,6.5,Winter,Late Blight
25.1,74.2,0.1,5.5,Monsoon,Early Blight
25.1,51.3,1.0,6.7,Winter,Healthy
24.6,89.9,17.0,6.1,Summer,Late Blight
25.3,89.0,14.1,6.5,Monsoon,Late Blight
29.6,71.8,0.7,5.9,Winter,Early Blight
24.2,76.1,18.6,6.0,Summer,Early Blight
33.3,58.7,21.3,6.2,Winter,Early Blight
32.8,47.5,12.4,6.9,Monsoon,Early Blight
26.7,74.7,11.6,6.0,Summer,Early Blight
24.6,59.7,0.1,6.1,Winter,Healthy
27.5,78.2,19.7,6.2,Summer,Early Blight
31.9,86.8,8.3,6.5,Monsoon,Early Blight
29.1,45.9,22.0,5.1,Winter,Early Blight
31.3,74.8,9.3,6.0,Summer,Early Blight
27.5,56.6,14.1,6.0,Summer,Early Blight
28.9,88.7,6.8,6.8,Winter,Early Blight
24.0,57.7,4.0,6.0,Monsoon,Healthy
30.3,75.5,19.4,5.9,Monsoon,Early Blight
22.8,72.7,12.4,6.9,Winter,Early Blight
29.7,64.8,13.4,5.9,Summer,Early Blight
32.1,78.9,24.1,5.4,Monsoon,Early Blight
21.8,81.3,24.1,5.4,Winter,Early Blight
28.6,73.3,21.4,5.2,Monsoon,Early Blight
21.3,82.9,4.7,5.0,Summer,Late Blight
30.2,94.2,14.9,5.9,Summer,Late Blight
21.2,66.0,22.0,6.5,Monsoon,Early Blight
33.1,70.7,9.4,6.5,Monsoon,Early Blight
21.9,45.6,2.5,5.1,Winter,Early Blight
33.4,84.8,20.3,6.1,Monsoon,Late Blight
31.2,71.0,12.0,5.3,Monsoon,Early Blight
28.3,65.4,14.1,6.9,Winter,Early Blight
31.0,49.7,24.6,5.3,Monsoon,Early Blight
31.1,89.5,15.2,6.3,Summer,Late Blight
33.2,64.8,10.6,5.7,Summer,Early Blight
23.5,79.1,9.2,6.3,Monsoon,Early Blight
28.3,52.5,10.4,5.8,Winter,Early Blight
21.3,93.1,3.0,6.5,Summer,Late Blight
28.6,53.9,19.9,5.5,Monsoon,Early Blight
22.4,55.0,20.9,6.8,Summer,Early Blight
27.9,87.9,7.1,6.0,Monsoon,Early Blight
